date,experiment,target,library,antibody,concentration,sort_bin,selection,sample,experiment_type,number_cells,frac_escape,R1
240422,exptREF4,Wuhan_Hu_1,lib12,none,0,ref,reference,exptREF4-none-0-ref,ab_selection,,,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2024/240508_Illumina_mAb-escape-SA55-Omi42/240415-lib12-presort-1_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2024/240508_Illumina_mAb-escape-SA55-Omi42/240415-lib12-presort-2_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2024/240508_Illumina_mAb-escape-SA55-Omi42/240415-lib12-presort-3_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2024/240508_Illumina_mAb-escape-SA55-Omi42/240415-lib12-presort-4_R1_001.fastq.gz
240422,exptREF4,Wuhan_Hu_1,lib13,none,0,ref,reference,exptREF4-none-0-ref,ab_selection,,,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2024/240508_Illumina_mAb-escape-SA55-Omi42/240415-lib13-presort-1_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2024/240508_Illumina_mAb-escape-SA55-Omi42/240415-lib13-presort-2_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2024/240508_Illumina_mAb-escape-SA55-Omi42/240415-lib13-presort-3_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2024/240508_Illumina_mAb-escape-SA55-Omi42/240415-lib13-presort-4_R1_001.fastq.gz
240422,expt1,Wuhan_Hu_1,lib12,SA55,247,abneg,escape,expt1-SA55-247-abneg,ab_selection,737380,0.219,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2024/240508_Illumina_mAb-escape-SA55-Omi42/240415-e1-r1_R1_001.fastq.gz
240422,expt1,Wuhan_Hu_1,lib13,SA55,247,abneg,escape,expt1-SA55-247-abneg,ab_selection,798058,0.225,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2024/240508_Illumina_mAb-escape-SA55-Omi42/240415-e1-r2_R1_001.fastq.gz
240422,expt4,Wuhan_Hu_1,lib12,Omi42,376,abneg,escape,expt4-Omi42-376-abneg,ab_selection,646664,0.179,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2024/240508_Illumina_mAb-escape-SA55-Omi42/240415-e4-r1_R1_001.fastq.gz
240422,expt4,Wuhan_Hu_1,lib13,Omi42,376,abneg,escape,expt4-Omi42-376-abneg,ab_selection,524218,0.156,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2024/240508_Illumina_mAb-escape-SA55-Omi42/240415-e4-r2_R1_001.fastq.gz
230613,exptREF3,Omicron_BA2,lib24,none,0,ref,reference,exptREF3-none-0-ref,ab_selection,,,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X55_230712_A00421_0570_BHFTYKDRX3_S55_L001_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X55_230712_A00421_0570_BHFTYKDRX3_S55_L002_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X56_230712_A00421_0570_BHFTYKDRX3_S56_L001_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X56_230712_A00421_0570_BHFTYKDRX3_S56_L002_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X57_230712_A00421_0570_BHFTYKDRX3_S57_L001_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X57_230712_A00421_0570_BHFTYKDRX3_S57_L002_R1_001.fastq.gz
230613,exptREF3,Omicron_BA2,lib25,none,0,ref,reference,exptREF3-none-0-ref,ab_selection,,,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X58_230712_A00421_0570_BHFTYKDRX3_S58_L001_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X58_230712_A00421_0570_BHFTYKDRX3_S58_L002_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X59_230712_A00421_0570_BHFTYKDRX3_S59_L001_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X59_230712_A00421_0570_BHFTYKDRX3_S59_L002_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X60_230712_A00421_0570_BHFTYKDRX3_S60_L001_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X60_230712_A00421_0570_BHFTYKDRX3_S60_L002_R1_001.fastq.gz
230613,expt4,Omicron_BA2,lib24,S2V29_v37_2,45,abneg,escape,expt4-S2V29_v37_2-45-abneg,ab_selection,592000,0.148,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X7_230712_A00421_0570_BHFTYKDRX3_S7_L001_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X7_230712_A00421_0570_BHFTYKDRX3_S7_L002_R1_001.fastq.gz
230613,expt4,Omicron_BA2,lib25,S2V29_v37_2,45,abneg,escape,expt4-S2V29_v37_2-45-abneg,ab_selection,688000,0.172,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X8_230712_A00421_0570_BHFTYKDRX3_S8_L001_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X8_230712_A00421_0570_BHFTYKDRX3_S8_L002_R1_001.fastq.gz
230512,exptREF2,Omicron_BA2,lib24,none,0,ref,reference,exptREF2-none-0-ref,ab_selection,,,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230531_Omicron-MAP_Vir-RBM_Aerium_bc/230512_BA2_lib1_presort_1_S21_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230531_Omicron-MAP_Vir-RBM_Aerium_bc/230512_BA2_lib1_presort_2_S22_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230531_Omicron-MAP_Vir-RBM_Aerium_bc/230512_BA2_lib1_presort_3_S23_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230531_Omicron-MAP_Vir-RBM_Aerium_bc/230512_BA2_lib1_presort_4_S24_R1_001.fastq.gz
230512,exptREF2,Omicron_BA2,lib25,none,0,ref,reference,exptREF2-none-0-ref,ab_selection,,,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230531_Omicron-MAP_Vir-RBM_Aerium_bc/230512_BA2_lib2_presort_1_S25_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230531_Omicron-MAP_Vir-RBM_Aerium_bc/230512_BA2_lib2_presort_2_S26_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230531_Omicron-MAP_Vir-RBM_Aerium_bc/230512_BA2_lib2_presort_3_S27_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230531_Omicron-MAP_Vir-RBM_Aerium_bc/230512_BA2_lib2_presort_4_S28_R1_001.fastq.gz
230512,expt7,Omicron_BA2,lib24,S2K146,60,abneg,escape,expt7-S2K146-60-abneg,ab_selection,472800,0.1182,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230531_Omicron-MAP_Vir-RBM_Aerium_bc/230512_e7_r1_S13_R1_001.fastq.gz
230512,expt7,Omicron_BA2,lib25,S2K146,60,abneg,escape,expt7-S2K146-60-abneg,ab_selection,472400,0.1181,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230531_Omicron-MAP_Vir-RBM_Aerium_bc/230512_e7_r2_S14_R1_001.fastq.gz
221130,exptREF,Omicron_BA2,lib24,none,0,ref,reference,exptREF-none-0-ref,ab_selection,,,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2022/221208_Omicron-Vir-RBM-mAbs_bc/221130_BA2_lib1_ref_S87_R1_001.fastq.gz
221130,exptREF,Omicron_BA2,lib25,none,0,ref,reference,exptREF-none-0-ref,ab_selection,,,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2022/221208_Omicron-Vir-RBM-mAbs_bc/221130_BA2_lib2_ref_S88_R1_001.fastq.gz
221130,expt3,Omicron_BA2,lib24,S2V29,33,abneg,escape,expt3-S2V29-33-abneg,ab_selection,316400,0.0791,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2022/221208_Omicron-Vir-RBM-mAbs_bc/221130_expt3_lib1_S93_R1_001.fastq.gz
221130,expt3,Omicron_BA2,lib25,S2V29,33,abneg,escape,expt3-S2V29-33-abneg,ab_selection,292800,0.0732,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2022/221208_Omicron-Vir-RBM-mAbs_bc/221130_expt3_lib2_S94_R1_001.fastq.gz
230622,exptREF2,Omicron_BQ11,lib57,none,0,ref,reference,exptREF2-none-0-ref,ab_selection,,,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X73_230712_A00421_0570_BHFTYKDRX3_S73_L001_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X73_230712_A00421_0570_BHFTYKDRX3_S73_L002_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X74_230712_A00421_0570_BHFTYKDRX3_S74_L001_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X74_230712_A00421_0570_BHFTYKDRX3_S74_L002_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X75_230712_A00421_0570_BHFTYKDRX3_S75_L001_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X75_230712_A00421_0570_BHFTYKDRX3_S75_L002_R1_001.fastq.gz
230622,exptREF2,Omicron_BQ11,lib58,none,0,ref,reference,exptREF2-none-0-ref,ab_selection,,,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X76_230712_A00421_0570_BHFTYKDRX3_S76_L001_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X76_230712_A00421_0570_BHFTYKDRX3_S76_L002_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X77_230712_A00421_0570_BHFTYKDRX3_S77_L001_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X77_230712_A00421_0570_BHFTYKDRX3_S77_L002_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X78_230712_A00421_0570_BHFTYKDRX3_S78_L001_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X78_230712_A00421_0570_BHFTYKDRX3_S78_L002_R1_001.fastq.gz
230622,expt1,Omicron_BQ11,lib57,S2V29_v37_2,52,abneg,escape,expt1-S2V29_v37_2-52-abneg,ab_selection,328000,0.082,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X29_230712_A00421_0570_BHFTYKDRX3_S29_L001_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X29_230712_A00421_0570_BHFTYKDRX3_S29_L002_R1_001.fastq.gz
230622,expt1,Omicron_BQ11,lib58,S2V29_v37_2,52,abneg,escape,expt1-S2V29_v37_2-52-abneg,ab_selection,264000,0.066,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X30_230712_A00421_0570_BHFTYKDRX3_S30_L001_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X30_230712_A00421_0570_BHFTYKDRX3_S30_L002_R1_001.fastq.gz
230615,expt1,Omicron_BQ11,lib57,S2K146,222,abneg,escape,expt1-S2K146-222-abneg,ab_selection,860000,0.215,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X13_230712_A00421_0570_BHFTYKDRX3_S13_L001_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X13_230712_A00421_0570_BHFTYKDRX3_S13_L002_R1_001.fastq.gz
230615,expt1,Omicron_BQ11,lib58,S2K146,222,abneg,escape,expt1-S2K146-222-abneg,ab_selection,896000,0.224,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X14_230712_A00421_0570_BHFTYKDRX3_S14_L001_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X14_230712_A00421_0570_BHFTYKDRX3_S14_L002_R1_001.fastq.gz
230615,expt4,Omicron_BQ11,lib57,S2V29,42,abneg,escape,expt4-S2V29-42-abneg,ab_selection,528000,0.132,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X19_230712_A00421_0570_BHFTYKDRX3_S19_L001_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X19_230712_A00421_0570_BHFTYKDRX3_S19_L002_R1_001.fastq.gz
230615,expt4,Omicron_BQ11,lib58,S2V29,42,abneg,escape,expt4-S2V29-42-abneg,ab_selection,512000,0.128,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X20_230712_A00421_0570_BHFTYKDRX3_S20_L001_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X20_230712_A00421_0570_BHFTYKDRX3_S20_L002_R1_001.fastq.gz
230622,exptREF2,Omicron_XBB15,lib59,none,0,ref,reference,exptREF2-none-0-ref,ab_selection,,,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X67_230712_A00421_0570_BHFTYKDRX3_S67_L001_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X67_230712_A00421_0570_BHFTYKDRX3_S67_L002_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X68_230712_A00421_0570_BHFTYKDRX3_S68_L001_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X68_230712_A00421_0570_BHFTYKDRX3_S68_L002_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X69_230712_A00421_0570_BHFTYKDRX3_S69_L001_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X69_230712_A00421_0570_BHFTYKDRX3_S69_L002_R1_001.fastq.gz
